107314.51996777536,62495.707380485866,6.6289561514558635,3.1993956341812666,1500.0,90800.0
km,fuel,age,price
0.84302,-1,0.42853,0.12877
0.66301,-1,1.05365,0.06047
-0.7890,-1,-0.8217,0.13773
-1.7145,-1,1.67876,0.05375
-0.3410,-1,0.11597,0.17917
2.81116,-1,1.36620,0.04479
0.04297,-1,0.74109,0.08622
-1.2291,-1,-1.4468,0.21265
-0.8273,-1,-1.1342,0.23964
0.36299,-1,0.42853,0.13997
0.73101,-1,0.74109,0.13437
-0.2210,-1,-0.8217,0.14322
-0.7570,1,0.42853,0.21276
0.95503,-1,0.74109,0.10078
-0.7416,-1,-0.5091,0.19585
0.76302,-1,1.67876,0.07614
0.95503,-1,0.74109,0.09854
-0.8690,-1,-0.8217,0.13986
0.12297,-1,-0.1965,0.09518
0.98703,1,1.05365,0.05599
1.00303,-1,0.42853,0.10414
-1.6851,-1,-1.7593,0.22833
0.42699,-1,0.42853,0.08622
-0.5170,-1,-0.5091,0.23964
-0.5970,-1,0.11597,0.18365
0.74701,-1,1.36620,0.08286
-1.2931,-1,-1.7593,0.31802
-1.6547,1,-1.7593,0.43001
-0.8690,-1,-1.1342,0.23516
-0.3090,-1,-0.5091,0.15117
-1.1971,-1,-1.4468,0.23916
-1.0931,-1,-0.5091,0.20380
-1.5171,1,-1.7593,0.24064
-1.7091,-1,-1.7593,0.31343
-0.4690,1,-0.5091,0.09294
-0.8178,-1,-1.1342,0.22844
-1.5747,-1,0.11597,0.11534
-0.1970,-1,-0.1965,0.13437
0.25098,-1,1.05365,0.07838
0.10697,-1,-0.8217,0.13997
0.66701,-1,0.42853,0.07278
-0.5970,-1,-0.1965,0.16237
-0.6450,-1,-0.1965,0.12094
-0.2290,-1,-0.5091,0.18477
0.81102,-1,0.74109,0.06718
0.65101,-1,1.36620,0.06159
-1.3171,-1,-1.7593,0.22810
0.47500,-1,1.36620,0.07838
0.81102,-1,0.74109,0.10078
-0.4658,-1,0.11597,0.13773
1.06704,1,1.36620,0.05599
-1.5811,1,-1.4468,0.22956
0.04297,1,1.05365,0.07267
-1.5731,-1,-1.7593,0.39137
0.05897,-1,0.42853,0.09518
0.34699,-1,0.42853,0.11422
1.35506,-1,1.05365,0.06707
0.96303,-1,0.74109,0.06483
-1.2723,-1,-1.4468,0.26259
-1.0291,-1,-0.8217,0.23516
-1.6307,-1,-1.7593,0.41902
0.04297,-1,0.42853,0.13885
0.39499,-1,0.11597,0.11478
2.05910,-1,1.36620,0.04479
-0.2546,-1,0.11597,0.10627
-0.5970,-1,-0.1965,0.16786
-1.1059,-1,-0.1965,0.18465
-0.5970,-1,-0.5091,0.17245
0.95503,-1,0.42853,0.12318
0.09897,-1,-0.1965,0.16013
-0.3090,-1,0.74109,0.09406
-1.7147,-1,-1.7593,0.29563
-0.5250,-1,-0.5091,0.14882
-1.4724,1,-1.7593,0.34038
-0.1346,-1,-0.8217,0.17301
-0.4050,-1,1.67876,0.08734
0.93903,-1,0.42853,0.08387
-0.3890,-1,1.67876,0.09182
-0.1170,-1,-0.1965,0.13437
0.28105,-1,-0.5091,0.13986
0.50937,-1,-0.1965,0.11298
-0.2530,-1,0.42853,0.08398
0.66701,-1,0.42853,0.08622
0.84302,-1,0.42853,0.08387
1.08609,-1,1.36620,0.05039
1.00303,-1,0.74109,0.09518
-0.7273,-1,-0.5091,0.17245
-1.3834,-1,-1.7593,0.26844
-1.2958,-1,-1.7593,0.29191
-0.9010,-1,-1.1342,0.15005
1.05103,-1,0.42853,0.07726
-0.8610,1,0.74109,0.15005
-0.1650,-1,0.11597,0.12318
1.29105,-1,0.74109,0.05263
-0.0850,-1,0.11597,0.14893
-0.8370,-1,-0.5091,0.25195
2.12311,-1,1.67876,0.03695
-1.6211,1,-1.7593,0.26763
-1.5523,-1,-1.7593,0.27200
-0.0931,-1,-0.8217,0.19473
1.26545,1,1.36620,0.07838
-0.3250,-1,0.74109,0.13997
-1.6051,-1,-1.4468,0.24624
0.98703,-1,0.42853,0.08387
1.56307,-1,0.74109,0.05599
-1.7167,-1,-2.0719,0.38521
0.55500,-1,1.05365,0.09518
-1.1571,1,-0.8217,0.31802
-0.9810,-1,-0.1965,0.18477
0.33099,-1,0.74109,0.08622
0.05097,-1,-0.1965,0.15005
-1.1891,-1,-1.7593,0.35274
-0.7730,-1,0.74109,0.17917
0.75501,-1,0.74109,0.08062
-1.5558,-1,-1.4468,0.31791
0.04297,-1,0.42853,0.11198
-0.6210,-1,-0.1965,0.16226
-0.1410,1,1.05365,0.10078
0.15497,-1,-0.5091,0.09406
0.02696,-1,1.05365,0.09294
0.67042,-1,0.74109,0.12866
-0.4850,-1,-0.1965,0.19596
0.98703,-1,0.74109,0.09518
0.71396,-1,0.42853,0.10638
